epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.0394,0.94621,0.66667,1,0.8038,0.000199371,0.000199371,0.0802623
2,145.264,0.79377,0.7035,1,0.74385,0.000399274,0.000399274,0.0604622
3,212.193,0.73427,0.70626,1,0.77905,0.000598786,0.000598786,0.0406617
4,280.579,0.68767,0.70258,1,0.75337,0.000797615,0.000797615,0.0208605
5,348.014,0.67578,0.75599,1,0.62877,0.00099547,0.00099547,0.00105836
6,415.192,0.63213,0.76888,1,0.62819,0.000993906,0.000993906,0.000993906
7,472.5,0.61279,0.79098,1,0.56804,0.000991232,0.000991232,0.000991232
8,536.19,0.60056,0.80663,1,0.52353,0.000988079,0.000988079,0.000988079
9,601.745,0.60605,0.77348,1,0.58167,0.000984449,0.000984449,0.000984449
10,666.883,0.56307,0.78821,1,0.54611,0.000980345,0.000980345,0.000980345
11,728.96,0.55378,0.80939,1,0.55142,0.000975773,0.000975773,0.000975773
12,791.847,0.52226,0.8186,1,0.50392,0.000970736,0.000970736,0.000970736
13,855.78,0.51963,0.80295,1,0.52842,0.000965239,0.000965239,0.000965239
14,919.964,0.5064,0.81768,1,0.53285,0.000959289,0.000959289,0.000959289
15,983.167,0.49779,0.79466,1,0.54171,0.000952889,0.000952889,0.000952889
16,1045.39,0.48749,0.7965,1,0.56813,0.000946048,0.000946048,0.000946048
17,1106.33,0.50394,0.79282,1,0.57132,0.000938772,0.000938772,0.000938772
18,1167.11,0.47145,0.8011,1,0.54232,0.000931067,0.000931067,0.000931067
19,1228.2,0.45098,0.83149,1,0.46884,0.000922942,0.000922942,0.000922942
20,1289,0.45139,0.82689,1,0.44971,0.000914405,0.000914405,0.000914405
21,1348.86,0.45535,0.83702,1,0.47055,0.000905463,0.000905463,0.000905463
22,1404.25,0.4371,0.81584,1,0.509,0.000896127,0.000896127,0.000896127
23,1468.31,0.44596,0.80939,1,0.53157,0.000886404,0.000886404,0.000886404
24,1528.18,0.44275,0.80663,1,0.55348,0.000876305,0.000876305,0.000876305
25,1586.92,0.43286,0.82413,1,0.49848,0.000865839,0.000865839,0.000865839
26,1645.89,0.43865,0.82505,1,0.52092,0.000855018,0.000855018,0.000855018
27,1709.58,0.42561,0.83241,1,0.48534,0.000843851,0.000843851,0.000843851
28,1771.08,0.4044,0.8407,1,0.46039,0.000832349,0.000832349,0.000832349
29,1835.55,0.39681,0.82597,1,0.47512,0.000820525,0.000820525,0.000820525
30,1897.3,0.39228,0.80295,1,0.6159,0.000808389,0.000808389,0.000808389
31,1955.06,0.40254,0.82781,1,0.52004,0.000795954,0.000795954,0.000795954
32,2018.14,0.39451,0.83333,1,0.53407,0.000783231,0.000783231,0.000783231
33,2081.59,0.37424,0.8361,1,0.49185,0.000770234,0.000770234,0.000770234
34,2143.72,0.38291,0.8361,1,0.4788,0.000756976,0.000756976,0.000756976
35,2207.28,0.38256,0.83057,1,0.5212,0.000743468,0.000743468,0.000743468
36,2269.87,0.37199,0.82965,1,0.55918,0.000729725,0.000729725,0.000729725
37,2333.31,0.36314,0.83794,1,0.49678,0.000715761,0.000715761,0.000715761
38,2396.47,0.34291,0.82413,1,0.55881,0.000701588,0.000701588,0.000701588
39,2453.3,0.35346,0.82597,1,0.48709,0.000687222,0.000687222,0.000687222
40,2516.94,0.36605,0.84899,1,0.45979,0.000672675,0.000672675,0.000672675
41,2576.29,0.32495,0.82873,1,0.49724,0.000657963,0.000657963,0.000657963
42,2639.82,0.34816,0.83794,1,0.44873,0.000643101,0.000643101,0.000643101
43,2705.59,0.32433,0.83517,1,0.49164,0.000628101,0.000628101,0.000628101
44,2768.69,0.32008,0.83333,1,0.51273,0.000612981,0.000612981,0.000612981
45,2829.9,0.31635,0.84715,1,0.48973,0.000597754,0.000597754,0.000597754
46,2890.77,0.30162,0.83517,1,0.58592,0.000582435,0.000582435,0.000582435
47,2955.56,0.3151,0.84162,1,0.53993,0.00056704,0.00056704,0.00056704
48,3021.57,0.30817,0.84254,1,0.49224,0.000551584,0.000551584,0.000551584
49,3084.89,0.30441,0.84899,1,0.48795,0.000536081,0.000536081,0.000536081
50,3146.82,0.29319,0.83794,1,0.51884,0.000520548,0.000520548,0.000520548
51,3210.37,0.29272,0.84715,1,0.48792,0.000505,0.000505,0.000505
52,3274.02,0.29058,0.84899,1,0.49713,0.000489452,0.000489452,0.000489452
53,3339.7,0.28652,0.83241,1,0.53742,0.000473919,0.000473919,0.000473919
54,3402.86,0.27678,0.84438,1,0.53776,0.000458416,0.000458416,0.000458416
55,3463.84,0.28091,0.83425,1,0.54456,0.00044296,0.00044296,0.00044296
56,3524.64,0.27256,0.84622,1,0.5236,0.000427565,0.000427565,0.000427565
57,3585.98,0.25705,0.8361,1,0.53104,0.000412246,0.000412246,0.000412246
58,3648.54,0.24556,0.84991,1,0.5086,0.000397019,0.000397019,0.000397019
59,3713.12,0.26213,0.84346,1,0.53522,0.000381899,0.000381899,0.000381899
60,3773.93,0.25416,0.8361,1,0.53778,0.000366899,0.000366899,0.000366899
61,3840.03,0.25967,0.84346,1,0.52784,0.000352037,0.000352037,0.000352037
62,3902.71,0.25751,0.82873,1,0.5196,0.000337325,0.000337325,0.000337325
63,3959.45,0.24288,0.83886,1,0.53117,0.000322778,0.000322778,0.000322778
64,4019.31,0.23016,0.83149,1,0.55688,0.000308412,0.000308412,0.000308412
65,4085.71,0.25901,0.84807,1,0.50322,0.000294239,0.000294239,0.000294239
66,4157.23,0.22474,0.83886,1,0.53468,0.000280275,0.000280275,0.000280275
67,4223.11,0.22206,0.82965,1,0.53686,0.000266532,0.000266532,0.000266532
