epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,73.4299,1.08047,0.6768,1,0.81529,0.00599055,0.00199685,0.00599055,0.00199685,0.00599055,0.00199685,0.00599055,0.00199685
2,141.687,0.81543,0.70902,1,0.75883,0.0119892,0.00399642,0.0119892,0.00399642,0.0119892,0.00399642,0.0119892,0.00399642
3,208.843,0.76772,0.72192,1,0.72859,0.0179827,0.00599425,0.0179827,0.00599425,0.0179827,0.00599425,0.0179827,0.00599425
4,281.302,0.74144,0.686,1,0.82621,0.0239671,0.00798904,0.0239671,0.00798904,0.0239671,0.00798904,0.0239671,0.00798904
5,355.078,0.751,0.71087,1,0.71495,0.0299385,0.0099795,0.0299385,0.0099795,0.0299385,0.0099795,0.0299385,0.0099795
6,434.006,0.76499,0.73849,1,0.6631,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,513.909,0.75048,0.74954,1,0.69171,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,588.248,0.71692,0.75414,1,0.65852,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,662.28,0.70021,0.73665,1,0.75177,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,736.357,0.67813,0.68969,1,0.7511,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,804.428,0.66051,0.74678,1,0.72645,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,871.142,0.65266,0.71915,1,0.69687,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,939.887,0.63057,0.71915,1,0.71044,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1007.32,0.62404,0.77716,1,0.59245,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1075.11,0.63126,0.74494,1,0.66734,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,1142.65,0.60625,0.76519,1,0.60331,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,1210.74,0.5856,0.77072,1,0.62318,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,1278.68,0.57642,0.78913,1,0.55148,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,1346.46,0.54857,0.7965,1,0.5684,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,1415.49,0.56885,0.814,1,0.52117,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,1482.77,0.53823,0.81308,1,0.5267,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,1551.49,0.5403,0.77072,1,0.62192,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,1619.87,0.54622,0.7965,1,0.55724,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,1688.03,0.52021,0.78453,1,0.58552,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1755.06,0.51709,0.78545,1,0.58871,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,1824.76,0.50351,0.80571,1,0.54219,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,1892.39,0.50608,0.81123,1,0.55377,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,1966.32,0.49362,0.77348,1,0.62826,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,2048.61,0.47907,0.78545,1,0.54259,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,2135.03,0.48123,0.8186,1,0.52217,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,2223.02,0.48419,0.82413,1,0.4927,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,2304.61,0.47688,0.81123,1,0.52695,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,2386.85,0.44197,0.7965,1,0.57096,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,2471.61,0.45148,0.82044,1,0.49436,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,2554.72,0.46265,0.80571,1,0.50199,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,2638.13,0.42862,0.81492,1,0.52156,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,2720.71,0.42479,0.83057,1,0.5072,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,2805.38,0.42745,0.83149,1,0.47705,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,2889.03,0.42424,0.82044,1,0.51035,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,2974.51,0.40698,0.81031,1,0.56316,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,3056.58,0.41249,0.7965,1,0.55599,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,3142.35,0.40568,0.82505,1,0.50173,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,3226.75,0.39714,0.80755,1,0.53226,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,3310.04,0.40697,0.8186,1,0.50681,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,3393.16,0.39193,0.82505,1,0.50964,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,3476.76,0.38369,0.81031,1,0.539,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,3560.61,0.38114,0.82689,1,0.49975,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,3643.53,0.36156,0.84807,1,0.49826,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,3727.25,0.36278,0.8361,1,0.50694,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,3810.49,0.38528,0.81952,1,0.47796,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,3894.75,0.35882,0.83517,1,0.46777,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
