epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,91.7414,0.94232,0.65407,1,0.8513,0.000199725,0.000199725,0.0802273
2,183.095,0.78377,0.7016,1,0.70759,0.000399681,0.000399681,0.0604272
3,266.289,0.74244,0.79668,1,0.54839,0.000599464,0.000599464,0.040627
4,350.289,0.70172,0.76231,1,0.59654,0.000798943,0.000798943,0.0208265
5,434.29,0.68583,0.80126,1,0.53341,0.000997989,0.000997989,0.00102554
6,515.033,0.64364,0.78809,1,0.58788,0.000997288,0.000997288,0.000997288
7,594.55,0.61268,0.83162,1,0.44289,0.000996097,0.000996097,0.000996097
8,677.496,0.59352,0.82474,1,0.45857,0.00099469,0.00099469,0.00099469
9,759.654,0.57935,0.84021,1,0.4462,0.000993068,0.000993068,0.000993068
10,840.593,0.56438,0.85166,1,0.43412,0.000991232,0.000991232,0.000991232
11,921.375,0.54786,0.86197,1,0.42989,0.000989183,0.000989183,0.000989183
12,1003.92,0.52127,0.87342,1,0.37563,0.000986922,0.000986922,0.000986922
13,1083.68,0.52827,0.75945,1,0.6036,0.000984449,0.000984449,0.000984449
14,1168.66,0.51649,0.84994,1,0.44309,0.000981765,0.000981765,0.000981765
15,1250.95,0.54161,0.8614,1,0.40441,0.000978873,0.000978873,0.000978873
16,1332.04,0.48818,0.86827,1,0.41818,0.000975773,0.000975773,0.000975773
17,1412.61,0.50049,0.84994,1,0.43527,0.000972466,0.000972466,0.000972466
18,1494.37,0.49379,0.86369,1,0.40308,0.000968955,0.000968955,0.000968955
19,1575.42,0.47349,0.86541,1,0.37597,0.000965239,0.000965239,0.000965239
20,1656.19,0.47715,0.8803,1,0.36935,0.000961322,0.000961322,0.000961322
21,1735.46,0.46257,0.86082,1,0.39616,0.000957205,0.000957205,0.000957205
22,1815.48,0.45851,0.88603,1,0.31668,0.000952889,0.000952889,0.000952889
23,1901.99,0.43252,0.86541,1,0.35696,0.000948377,0.000948377,0.000948377
24,1988.05,0.44657,0.88373,1,0.32901,0.000943671,0.000943671,0.000943671
25,2076.13,0.43947,0.88488,1,0.34539,0.000938772,0.000938772,0.000938772
26,2165.07,0.43187,0.88202,1,0.3245,0.000933683,0.000933683,0.000933683
27,2251.63,0.42361,0.87113,1,0.35299,0.000928405,0.000928405,0.000928405
28,2333.41,0.42774,0.87801,1,0.34388,0.000922942,0.000922942,0.000922942
29,2415.38,0.42519,0.89003,1,0.31482,0.000917296,0.000917296,0.000917296
30,2497.95,0.41331,0.89347,1,0.31028,0.000911469,0.000911469,0.000911469
31,2580.89,0.42229,0.88488,1,0.33642,0.000905463,0.000905463,0.000905463
32,2662.41,0.42986,0.89576,1,0.3209,0.000899282,0.000899282,0.000899282
33,2744,0.41345,0.8929,1,0.29707,0.000892928,0.000892928,0.000892928
34,2829.9,0.41666,0.90092,1,0.29035,0.000886404,0.000886404,0.000886404
35,2919.31,0.39555,0.89233,1,0.30091,0.000879713,0.000879713,0.000879713
36,3200.38,0.38261,0.89977,1,0.3011,0.000872857,0.000872857,0.000872857
37,3399.46,0.38924,0.89805,1,0.3085,0.000865839,0.000865839,0.000865839
38,3611.37,0.3724,0.89404,1,0.3228,0.000858664,0.000858664,0.000858664
39,3846.38,0.36613,0.8992,1,0.29834,0.000851333,0.000851333,0.000851333
40,4050.53,0.37139,0.89233,1,0.29859,0.000843851,0.000843851,0.000843851
41,4260.28,0.37618,0.89462,1,0.30133,0.00083622,0.00083622,0.00083622
42,4477.36,0.36539,0.89748,1,0.28837,0.000828443,0.000828443,0.000828443
43,4684.64,0.36149,0.88717,1,0.31193,0.000820525,0.000820525,0.000820525
44,4912.25,0.35786,0.89003,1,0.29354,0.000812468,0.000812468,0.000812468
45,5111.62,0.35459,0.8929,1,0.31342,0.000804277,0.000804277,0.000804277
46,5338.34,0.35139,0.90092,1,0.30153,0.000795954,0.000795954,0.000795954
47,5561.2,0.34717,0.90263,1,0.28188,0.000787503,0.000787503,0.000787503
48,5720.27,0.34781,0.89977,1,0.27984,0.000778929,0.000778929,0.000778929
49,5920.93,0.34187,0.89977,1,0.28719,0.000770234,0.000770234,0.000770234
