epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,103.581,1.00572,0.67698,1,0.8154,0.000199725,0.000199725,0.0802273
2,191.183,0.89432,0.67927,1,0.76229,0.000399681,0.000399681,0.0604272
3,277.314,0.87933,0.68099,1,0.7514,0.000599464,0.000599464,0.040627
4,365.181,0.83716,0.6638,1,0.74299,0.000798943,0.000798943,0.0208265
5,452.629,0.81545,0.69072,1,0.7355,0.000997989,0.000997989,0.00102554
6,544.58,0.7787,0.70561,1,0.69649,0.000997288,0.000997288,0.000997288
7,636.138,0.76375,0.73482,1,0.70834,0.000996097,0.000996097,0.000996097
8,735.024,0.7519,0.75888,1,0.60955,0.00099469,0.00099469,0.00099469
9,831.973,0.73089,0.75544,1,0.59698,0.000993068,0.000993068,0.000993068
10,929.057,0.69139,0.75716,1,0.57106,0.000991232,0.000991232,0.000991232
11,1027.23,0.68509,0.7646,1,0.61514,0.000989183,0.000989183,0.000989183
12,1128.1,0.68419,0.81214,1,0.49326,0.000986922,0.000986922,0.000986922
13,1227.39,0.66335,0.7732,1,0.55186,0.000984449,0.000984449,0.000984449
14,1326.2,0.63803,0.78236,1,0.54558,0.000981765,0.000981765,0.000981765
15,1428.3,0.65593,0.8236,1,0.47411,0.000978873,0.000978873,0.000978873
16,1523.59,0.62825,0.84078,1,0.45762,0.000975773,0.000975773,0.000975773
17,1617.32,0.61861,0.8047,1,0.4917,0.000972466,0.000972466,0.000972466
18,1709.66,0.60703,0.78465,1,0.5381,0.000968955,0.000968955,0.000968955
19,1798.44,0.60111,0.79611,1,0.50766,0.000965239,0.000965239,0.000965239
20,1890.04,0.58817,0.80641,1,0.51023,0.000961322,0.000961322,0.000961322
21,1999.62,0.57949,0.7921,1,0.55344,0.000957205,0.000957205,0.000957205
22,2130.23,0.57303,0.83505,1,0.4382,0.000952889,0.000952889,0.000952889
23,2250.33,0.56977,0.83906,1,0.42617,0.000948377,0.000948377,0.000948377
24,2368.42,0.56459,0.8425,1,0.43973,0.000943671,0.000943671,0.000943671
25,2483.16,0.56446,0.84307,1,0.42943,0.000938772,0.000938772,0.000938772
26,2597.02,0.54973,0.83276,1,0.46295,0.000933683,0.000933683,0.000933683
27,2709.39,0.54897,0.80183,1,0.48287,0.000928405,0.000928405,0.000928405
28,2820.22,0.53423,0.85968,1,0.3898,0.000922942,0.000922942,0.000922942
29,2933.04,0.53075,0.8425,1,0.42985,0.000917296,0.000917296,0.000917296
30,3045.07,0.53121,0.86197,1,0.3731,0.000911469,0.000911469,0.000911469
31,3157.9,0.52438,0.8677,1,0.4005,0.000905463,0.000905463,0.000905463
32,3269.87,0.52351,0.86884,1,0.37715,0.000899282,0.000899282,0.000899282
33,3382.59,0.53663,0.87457,1,0.35945,0.000892928,0.000892928,0.000892928
34,3494,0.52273,0.87743,1,0.36171,0.000886404,0.000886404,0.000886404
35,3605.83,0.51757,0.89061,1,0.34659,0.000879713,0.000879713,0.000879713
36,3717.25,0.51071,0.88946,1,0.32995,0.000872857,0.000872857,0.000872857
37,3828.86,0.52789,0.87342,1,0.36576,0.000865839,0.000865839,0.000865839
38,3940.1,0.49993,0.86369,1,0.37709,0.000858664,0.000858664,0.000858664
39,4050.44,0.49076,0.87171,1,0.36441,0.000851333,0.000851333,0.000851333
40,4162.9,0.47726,0.86197,1,0.36338,0.000843851,0.000843851,0.000843851
41,4273.9,0.49507,0.89118,1,0.32458,0.00083622,0.00083622,0.00083622
42,4385.34,0.48502,0.88316,1,0.3307,0.000828443,0.000828443,0.000828443
43,4495.76,0.47999,0.89462,1,0.33753,0.000820525,0.000820525,0.000820525
44,4608.71,0.4902,0.89805,1,0.31235,0.000812468,0.000812468,0.000812468
45,4721.9,0.47038,0.88603,1,0.34098,0.000804277,0.000804277,0.000804277
46,4836.35,0.48803,0.88545,1,0.34108,0.000795954,0.000795954,0.000795954
47,4953.53,0.4663,0.89519,1,0.31076,0.000787503,0.000787503,0.000787503
48,5066.68,0.46295,0.90206,1,0.28964,0.000778929,0.000778929,0.000778929
49,5182.16,0.45626,0.89003,1,0.32578,0.000770234,0.000770234,0.000770234
50,5295.58,0.45931,0.89519,1,0.31448,0.000761423,0.000761423,0.000761423
51,5408.64,0.44013,0.89175,1,0.32129,0.0007525,0.0007525,0.0007525
52,5521.43,0.45124,0.90664,1,0.28639,0.000743468,0.000743468,0.000743468
