image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.073357254,0.7928774,0.032212205,0.029170228,0.07238301,0
1,0.9582866,0.013863169,0.009231478,0.008725468,0.009893377,0
2,0.93000764,0.020064017,0.019047149,0.015602256,0.015278886,0
3,0.8996313,0.025737984,0.035962127,0.021135792,0.017532786,0
4,0.90389407,0.016606802,0.033969246,0.027960364,0.017569548,0
5,0.89607716,0.02218127,0.0415272,0.019858876,0.020355431,0
6,0.9152385,0.021238374,0.03061599,0.015804458,0.01710278,0
7,0.73250026,0.12955867,0.04501624,0.0713636,0.021561272,0
8,0.3091652,0.6630866,0.008267715,0.007644541,0.011835932,0
9,0.91157246,0.021682784,0.03336643,0.016141837,0.017236426,0
10,0.9443502,0.011903154,0.025338558,0.007474703,0.010933411,0
11,0.92932874,0.0151445,0.021218304,0.017063363,0.017245093,0
12,0.44487736,0.03147936,0.48117858,0.021673495,0.020791287,0
13,0.88412446,0.022780955,0.046391383,0.025787687,0.020915432,0
14,0.7878346,0.0528013,0.020272352,0.12003785,0.019053916,0
15,0.9163603,0.019244794,0.032207277,0.014277642,0.017910002,0
16,0.72822535,0.06692408,0.010958406,0.015455705,0.1784365,0
17,0.91113466,0.036803152,0.013145119,0.023170974,0.015746094,0
18,0.9355602,0.024100138,0.015496912,0.010386032,0.014456714,0
19,0.8384056,0.08416058,0.022117702,0.033295024,0.022021055,0
20,0.688395,0.21829279,0.029408667,0.04473131,0.01917224,0
21,0.8515089,0.094356336,0.016925305,0.02386011,0.013349337,0
22,0.94029087,0.01607857,0.018104618,0.011424725,0.014101255,0
23,0.90979594,0.023788167,0.031824414,0.017587561,0.017003898,0
24,0.62501615,0.11308596,0.12901813,0.11206665,0.02081312,0
25,0.9129319,0.010540276,0.039839175,0.013757214,0.022931391,0
26,0.8985025,0.022209292,0.03905899,0.01969869,0.020530572,0
27,0.9273205,0.03039879,0.017680397,0.011011976,0.0135884555,0
28,0.89804953,0.02367045,0.037188396,0.022828406,0.01826322,0
29,0.8957785,0.020849649,0.04074423,0.02247551,0.02015211,0
30,0.89595854,0.024136629,0.041301265,0.019429505,0.019174159,0
31,0.87061375,0.05237869,0.041422363,0.020946039,0.014639154,0
32,0.9501235,0.0149200065,0.014425053,0.0113217,0.009209718,0
33,0.6919958,0.051212635,0.16378938,0.073404804,0.019597417,0
34,0.8961546,0.020198738,0.042861994,0.021554096,0.019230552,0
35,0.8661955,0.044897404,0.03451104,0.038817797,0.015578307,0
36,0.91866916,0.022209777,0.024308765,0.018297551,0.016514763,0
37,0.9005243,0.019360667,0.03951053,0.0193753,0.021229118,0
38,0.89003116,0.015060158,0.056676436,0.016801206,0.021431059,0
39,0.8973946,0.040502664,0.015079433,0.008124926,0.038898483,0
40,0.92900366,0.019225745,0.023605796,0.011858652,0.01630622,0
41,0.8815202,0.044655066,0.037325855,0.01568339,0.020815521,0
42,0.9149914,0.019390717,0.030835425,0.01762472,0.017157812,0
43,0.91870785,0.035350334,0.018893598,0.013377468,0.0136707295,0
44,0.73710257,0.012321113,0.039860312,0.009550353,0.20116575,0
45,0.65333587,0.2748743,0.02707365,0.029627655,0.015088545,0
46,0.9535552,0.013700745,0.010523848,0.01112127,0.011098987,0
47,0.8949589,0.023908217,0.04160663,0.019409051,0.020117171,0
48,0.9265938,0.018775996,0.022623232,0.017444137,0.014562877,0
49,0.8396678,0.024587823,0.110217586,0.009819494,0.01570727,0
50,0.86996555,0.017870141,0.07137578,0.019901125,0.020887468,0
51,0.9138096,0.024149884,0.029619519,0.015840149,0.016580792,0
52,0.7924394,0.1314416,0.020196892,0.03763127,0.018290889,0
53,0.943112,0.016998427,0.01407132,0.013237478,0.012580772,0
54,0.92490023,0.02633269,0.016671484,0.020187957,0.01190752,0
55,0.9387436,0.014796935,0.019537546,0.012316047,0.014605862,0
56,0.9049312,0.018806953,0.03592622,0.021672888,0.018662745,0
57,0.95339966,0.011957704,0.014987073,0.009937461,0.009718108,0
58,0.8869401,0.022405438,0.05334252,0.018473368,0.01883861,0
59,0.8035413,0.02588496,0.06420534,0.08280334,0.02356511,0
60,0.91202384,0.027386233,0.03430781,0.012428941,0.01385315,0
61,0.788372,0.07819365,0.048347887,0.0681931,0.016893353,0
62,0.9052626,0.02901345,0.029835451,0.01935511,0.016533438,0
63,0.92171556,0.0117831305,0.033584904,0.012885374,0.020031104,0
64,0.7070664,0.1699998,0.048138354,0.051584613,0.023210851,0
65,0.8500391,0.076915815,0.022933917,0.032256283,0.017854873,0
66,0.88702744,0.020985736,0.052330233,0.017587457,0.022069097,0
67,0.8985467,0.015961459,0.048238825,0.017845366,0.019407617,0
68,0.94269973,0.025374973,0.010790386,0.009626686,0.0115082525,0
69,0.6221361,0.028908182,0.30953673,0.018967478,0.02045147,0
70,0.9069066,0.03579309,0.026961422,0.01599781,0.014341043,0
71,0.70907587,0.10233169,0.044029176,0.12912421,0.015439129,0
72,0.9038119,0.022491833,0.038467743,0.01615862,0.01906994,0
73,0.913935,0.022555795,0.028510893,0.017506404,0.01749192,0
74,0.9018965,0.021090358,0.037908524,0.018785452,0.020319192,0
75,0.9101362,0.024521776,0.029889582,0.018554121,0.016898327,0
76,0.56105214,0.33681378,0.03170897,0.049434967,0.020990206,0
77,0.8998441,0.022284478,0.037502836,0.020560369,0.019808214,0
78,0.07805035,0.83551896,0.033665046,0.03054498,0.022220729,0
79,0.9140231,0.019680474,0.03423595,0.015072732,0.016987776,0
80,0.9259955,0.023866057,0.0077974605,0.00903819,0.033302855,0
81,0.8469762,0.08412229,0.023203393,0.026789868,0.01890826,0
82,0.7704653,0.168036,0.01872681,0.027045717,0.01572623,0
83,0.029833231,0.047121696,0.68549436,0.21771185,0.019838823,0
84,0.90120804,0.022983726,0.03717003,0.018636433,0.020001799,0
