image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.22292319,0.122853495,0.056672156,0.03725609,0.56029505,0
1,0.16168474,0.06950268,0.043794185,0.025601609,0.69941676,0
2,0.6986174,0.05057816,0.07633183,0.03519948,0.13927312,0
3,0.90083295,0.023551835,0.03771532,0.025541639,0.012358296,0
4,0.19630995,0.09008717,0.54963076,0.13284501,0.031127185,0
5,0.8683831,0.029181335,0.05762441,0.03250493,0.012306228,0
6,0.88500494,0.025631776,0.04712152,0.027710024,0.01453179,0
7,0.68066466,0.109316014,0.06542542,0.095022775,0.049571127,0
8,0.17319493,0.2522211,0.080109924,0.29229912,0.20217493,0
9,0.7846524,0.03547508,0.12715602,0.038898278,0.013818207,0
