image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.61465114,0.098886594,0.11747875,0.038725376,0.1302582,0
1,0.6162076,0.10459876,0.10444684,0.042254295,0.1324925,0
2,0.63175243,0.08444723,0.12480171,0.045700155,0.11329847,0
3,0.7533908,0.072103806,0.09566085,0.044293966,0.03455059,0
4,0.37373742,0.29844353,0.1566129,0.11784305,0.053363115,0
5,0.7573077,0.07656648,0.08677985,0.048144877,0.031201119,0
6,0.5638802,0.11394326,0.18679586,0.08156962,0.05381113,0
7,0.7895204,0.0789267,0.07212024,0.030097758,0.0293349,0
8,0.29578987,0.3679907,0.13786924,0.14727104,0.051079173,0
9,0.3109819,0.16580665,0.33829919,0.15210174,0.032810602,0
