image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.5485423,0.20954919,0.056868084,0.061239153,0.12380133,0
1,0.8795363,0.014695886,0.03831403,0.019420465,0.048033327,0
2,0.9271107,0.020005314,0.024096718,0.009402167,0.019385159,0
3,0.90473765,0.036846407,0.022984022,0.017490035,0.01794184,0
4,0.81553155,0.02057755,0.10174181,0.044184968,0.017964168,0
5,0.89528525,0.026393263,0.036341973,0.021550588,0.020428974,0
6,0.88858616,0.029700061,0.039608385,0.02321481,0.018890584,0
7,0.8088356,0.05708909,0.05123129,0.06336256,0.019481413,0
8,0.18688013,0.7238003,0.028226187,0.043075144,0.01801819,0
9,0.90518206,0.022534866,0.03680728,0.016637404,0.018838366,0
10,0.6785251,0.017851254,0.24607806,0.0382776,0.019267974,0
11,0.9246113,0.011606044,0.032394197,0.013612549,0.017775944,0
12,0.61969733,0.023892421,0.29408664,0.036898397,0.025425214,0
13,0.896486,0.022919461,0.039953623,0.021282382,0.019358506,0
14,0.7166402,0.083213024,0.028076252,0.15523194,0.01683861,0
15,0.8697063,0.036755722,0.050279774,0.020532347,0.02272593,0
16,0.77129954,0.096191786,0.04009516,0.027154688,0.065258816,0
17,0.76583105,0.12675057,0.014150198,0.07075658,0.02251155,0
18,0.85235256,0.05218924,0.022733202,0.018368049,0.05435701,0
19,0.7684927,0.09338469,0.036038753,0.085877575,0.016206324,0
20,0.73675287,0.13098755,0.042131867,0.066069804,0.024057955,0
21,0.7995492,0.08621132,0.043776195,0.049780816,0.020682493,0
22,0.9219708,0.024470022,0.020133277,0.015987728,0.017438183,0
23,0.9356834,0.019736247,0.017415483,0.010971812,0.016193043,0
24,0.7018297,0.15238288,0.056832876,0.06783016,0.021124486,0
25,0.9030127,0.017552858,0.042613607,0.017774625,0.019046294,0
26,0.92112696,0.025063286,0.023121363,0.013461265,0.017227178,0
27,0.87622035,0.023842879,0.036443118,0.042281974,0.021211714,0
28,0.9283387,0.020862713,0.01742437,0.016806468,0.01656772,0
29,0.91919845,0.01970605,0.029517392,0.016141756,0.015436328,0
30,0.9031884,0.03222027,0.02529115,0.020062674,0.019237472,0
31,0.88812315,0.036845822,0.03539489,0.020049775,0.019586403,0
32,0.87112695,0.03977776,0.03267622,0.03568588,0.020733107,0
33,0.68572176,0.02672081,0.21628554,0.05161295,0.019658996,0
34,0.9064623,0.021290852,0.031635717,0.021012595,0.019598562,0
35,0.78763723,0.08081225,0.04143366,0.07273307,0.017383771,0
36,0.9358056,0.019882547,0.016565701,0.012531209,0.01521498,0
37,0.91319126,0.024786403,0.02765271,0.015523952,0.018845787,0
38,0.91253567,0.01887351,0.0312125,0.018728165,0.018650142,0
39,0.029849539,0.024644557,0.024708582,0.018394453,0.9024029,0
40,0.9125666,0.02764221,0.0294866,0.015926851,0.014377827,0
41,0.8334901,0.0666814,0.023873938,0.018159091,0.057795465,0
42,0.8884985,0.029247949,0.036662776,0.024509259,0.02108157,0
