image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.6863236,0.05448742,0.051247545,0.045301657,0.16263984,0
1,0.23130949,0.024618143,0.09229121,0.03338051,0.61840063,0
2,0.9453034,0.007374787,0.034417547,0.005297828,0.0076065375,0
3,0.9467799,0.030071218,0.010643413,0.011086993,0.001418444,0
4,0.52698576,0.02996916,0.38819668,0.045515228,0.009333155,0
5,0.9223728,0.044073056,0.014563473,0.015896512,0.0030940843,0
6,0.9336707,0.035581585,0.015836364,0.011887095,0.003024242,0
7,0.8728499,0.08597984,0.017223762,0.019386804,0.00455974,0
8,0.23434602,0.5151849,0.05429811,0.14905237,0.04711861,0
9,0.6201587,0.11074952,0.1944494,0.06609254,0.0085498905,0
