image_idx,cataract,diabetic_retinopathy,glaucoma,normal,retina_disease,real_label
0,0.57708275,0.14562848,0.09960778,0.060541373,0.117139615,0
1,0.123834684,0.10364411,0.14439197,0.009293044,0.6188362,0
2,0.30790472,0.038461566,0.6118285,0.007593972,0.034211256,0
3,0.9255207,0.0001717986,0.07036225,0.0038079515,0.00013732507,0
4,0.04419504,0.0024222624,0.86608684,0.08670339,0.0005924536,0
5,0.79547024,0.00023110928,0.20067573,0.0033212393,0.000301626,0
6,0.8239419,0.00020778389,0.17118326,0.0044265212,0.00024049255,0
7,0.7981964,0.051519543,0.03134955,0.11495576,0.0039788084,0
8,0.05956454,0.46715483,0.09065393,0.07807628,0.3045504,0
9,0.593926,0.00049285626,0.3989505,0.0061167106,0.00051398476,0
10,0.113966204,0.24013336,0.22261381,0.02266267,0.40062395,0
11,0.09492908,0.043777663,0.8376716,0.008105618,0.015516085,0
12,0.34639746,0.009800116,0.5159101,0.12491281,0.00297947,0
13,0.8758373,0.000440128,0.11845992,0.005142665,0.000119962824,0
14,0.7080605,0.03434377,0.078393705,0.16872671,0.010475285,0
15,0.5857295,0.0012844258,0.39727452,0.014670288,0.0010413096,0
16,0.7396389,0.11600584,0.1070142,0.028629612,0.008711448,0
17,0.3398065,0.13871081,0.13467303,0.35903087,0.02777878,0
18,0.6598731,0.123030365,0.1281087,0.022695126,0.0662927,0
19,0.7327571,0.105290055,0.050016344,0.09407057,0.017865976,0
20,0.7940861,0.02261253,0.051420473,0.12768736,0.0041935616,0
21,0.75004447,0.09919377,0.07339802,0.069985926,0.0073778527,0
22,0.36335847,0.0005135712,0.63052726,0.00528535,0.0003153278,0
23,0.24561746,0.009097546,0.72908676,0.0013746074,0.01482366,0
24,0.83619815,0.024494018,0.05500864,0.08111895,0.0031803127,0
25,0.43982726,0.0002768299,0.55587256,0.0033587874,0.0006645628,0
26,0.6371852,0.00064791215,0.34669703,0.015027786,0.00044195968,0
27,0.55065143,0.17490228,0.14742544,0.02885435,0.09816641,0
28,0.4733038,0.02824694,0.45580053,0.0059664496,0.036682248,0
29,0.222437,0.047525756,0.6944686,0.006782173,0.028786471,0
30,0.7918788,0.0003267497,0.20569173,0.0016656447,0.00043710266,0
31,0.8589364,0.0013852906,0.12858155,0.01057736,0.00051938725,0
32,0.66311806,0.13710514,0.13091628,0.017707998,0.051152486,0
33,0.081318155,0.005222598,0.8434676,0.06728564,0.0027059966,0
34,0.5692556,0.00062618114,0.42355356,0.0052787373,0.0012858424,0
35,0.8168643,0.03002339,0.054044902,0.095631406,0.0034360033,0
36,0.26790076,0.011230385,0.7014569,0.0027249549,0.016686995,0
37,0.59762466,0.000426682,0.39654586,0.0049570226,0.0004457747,0
38,0.6692711,0.0018483646,0.31686658,0.010163041,0.0018509673,0
39,0.015702551,0.6576503,0.065195955,0.008716858,0.25273433,0
40,0.63259256,0.029194975,0.30949503,0.025459427,0.0032579813,0
41,0.5938407,0.17927308,0.13679084,0.030733204,0.059362166,0
42,0.857901,4.8164897e-05,0.14093399,0.00092351006,0.0001933139,0
43,0.6498463,0.00055603683,0.33817896,0.010340622,0.0010780646,0
44,0.024774436,0.15479574,0.073973455,0.004428266,0.7420281,0
45,0.47936448,0.057594616,0.17143014,0.2843423,0.0072684833,0
46,0.26836687,0.11812558,0.17968667,0.017174905,0.41664594,0
47,0.78162605,0.00040642792,0.21532123,0.0017731513,0.0008731843,0
48,0.20791905,0.028257463,0.7367654,0.0056092776,0.02144878,0
49,0.05762834,0.22840822,0.10154481,0.010569112,0.6018495,0
50,0.79008967,0.0005290016,0.20730987,0.0015918475,0.00047967903,0
51,0.7900006,0.00033215163,0.20426384,0.00499423,0.00040919584,0
52,0.79165614,0.06259587,0.03305041,0.108192965,0.0045045493,0
53,0.44976312,0.20219883,0.13483892,0.025669783,0.18752937,0
54,0.4871652,0.09044153,0.12894136,0.2800088,0.013443115,0
55,0.7545809,0.00024020094,0.24367449,0.0013163959,0.00018805641,0
56,0.27484632,0.0010169962,0.71213764,0.011364618,0.00063440815,0
57,0.10723056,0.207593,0.13982597,0.022485074,0.5228654,0
58,0.32705206,0.0019220877,0.66057265,0.0077308617,0.0027223546,0
59,0.024199706,0.01879846,0.8059,0.14681825,0.004283623,0
60,0.14873593,0.028316176,0.7708925,0.004417884,0.04763747,0
61,0.84774435,0.014684372,0.027314043,0.10757115,0.0026860335,0
62,0.85228634,6.914405e-05,0.14582112,0.0016616894,0.00016168272,0
63,0.52633893,0.0005593152,0.4655475,0.0067195483,0.0008346657,0
64,0.31939977,0.45318523,0.13819471,0.030051123,0.059169132,0
65,0.8699156,0.015774366,0.031341147,0.08059612,0.0023727105,0
66,0.751953,0.00048236028,0.24271305,0.0040440997,0.0008075124,0
67,0.46937513,0.00026665657,0.5282798,0.0019205844,0.00015791022,0
68,0.053432994,0.1091674,0.08391777,0.009085056,0.7443968,0
69,0.016274046,0.028572062,0.7889849,0.16368401,0.0024849426,0
70,0.81612265,0.00018740151,0.179378,0.0040094033,0.00030249706,0
71,0.11861662,0.17138006,0.21961589,0.46115795,0.02922948,0
72,0.7519881,0.0005868285,0.24273849,0.0044633686,0.00022319207,0
73,0.6966232,0.004231429,0.28837818,0.0016905433,0.009076527,0
74,0.8506271,0.0002072765,0.14692314,0.0018637434,0.00037868207,0
75,0.84437495,7.074907e-05,0.15386328,0.0015587683,0.00013226262,0
